id,title,title_alt,school_year,program,category,division,composer,arranger,publisher,score_name,performance_note,purchase_note,source_url,source_label,publisher_url,verification_status,last_verified_at,tags,notes
115-ind-001,月夜愁,,115,口琴獨奏,口琴(Harmonica)獨奏,國小組,鄧雨賢,茒永泰,高雄天韻口琴樂團,月夜愁,全曲演奏,請洽高雄天韻口琴樂團 0933649814,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲%20個人項目0715..pdf,115學年度個人項目指定曲,,official-pdf,2026-07-16,個人/複音口琴/指定曲,自選曲得使用半音階口琴
115-ind-002,愛爾蘭洗衣婦,Irish Washerwoman,115,口琴獨奏,口琴(Harmonica)獨奏,國小組,愛爾蘭吉格舞曲,盧怡臻,盧怡臻／茱蒂口琴樂團,,全曲演奏,請洽茱蒂口琴樂團,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲%20個人項目0715..pdf,115學年度個人項目指定曲,https://www.facebook.com/Judys.Harmonica.Ensemble/,official-pdf,2026-07-16,個人/複音口琴/指定曲,
115-ind-003,小步舞曲,Minuet,115,口琴獨奏,口琴(Harmonica)獨奏,國小組,J.S.Bach,陳鴻儀,獨特音樂(The Duet)工作室,,全曲演奏,請洽獨特音樂(The Duet)工作室,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲%20個人項目0715..pdf,115學年度個人項目指定曲,https://www.facebook.com/theduet.music/,official-pdf,2026-07-16,個人/複音口琴/指定曲,
115-ind-004,花燈迎天穿,客家歌謠,115,口琴獨奏,口琴(Harmonica)獨奏,國中組,林碧霞,范曉怡,狂響口琴樂團,花燈迎天穿(客家歌謠),不需反複,請洽狂響逗嘴鼓口琴樂坊或狂響口琴樂團,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲%20個人項目0715..pdf,115學年度個人項目指定曲,https://www.facebook.com/HarmonicaDrumRhapsody/,official-pdf,2026-07-16,個人/複音口琴/指定曲,
115-ind-005,山頂的黑狗兄,Fine Alpine Milkman,115,口琴獨奏,口琴(Harmonica)獨奏,國中組,Leslie Sarony,盧怡臻,盧怡臻／茱蒂口琴樂團,,全曲演奏,請洽茱蒂口琴樂團,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲%20個人項目0715..pdf,115學年度個人項目指定曲,https://www.facebook.com/Judys.Harmonica.Ensemble/,official-pdf,2026-07-16,個人/複音口琴/指定曲,
115-ind-006,白牡丹,,115,口琴獨奏,口琴(Harmonica)獨奏,國中組,陳秋霖,彭仁傑,音和樂器,,全曲演奏,請洽音和樂器 02-23419499 paul.harmonica@gmail.com,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲%20個人項目0715..pdf,115學年度個人項目指定曲,https://www.facebook.com/PeaceTones.harmonica/,official-pdf,2026-07-16,個人/複音口琴/指定曲,
115-ind-007,虞美人,,115,口琴獨奏,口琴(Harmonica)獨奏,高中職組,郭芝苑,丸玩琴音樂,丸玩琴音樂,虞美人,全曲演奏,請洽丸玩琴音樂 Facebook,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲%20個人項目0715..pdf,115學年度個人項目指定曲,https://www.facebook.com/HarpoMusic/,official-pdf,2026-07-16,個人/複音口琴/指定曲,
115-ind-008,草螟弄雞公,,115,口琴獨奏,口琴(Harmonica)獨奏,高中職組,臺灣民謠,盧怡臻,盧怡臻／茱蒂口琴樂團,,全曲演奏,請洽茱蒂口琴樂團,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲%20個人項目0715..pdf,115學年度個人項目指定曲,https://www.facebook.com/Judys.Harmonica.Ensemble/,official-pdf,2026-07-16,個人/複音口琴/指定曲,
115-ind-009,婚禮的祝福,La Novia,115,口琴獨奏,口琴(Harmonica)獨奏,高中職組,Joaquin Prieto,茒永泰,高雄口琴藝術合奏團,,全曲演奏,請洽高雄口琴藝術合奏團,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲%20個人項目0715..pdf,115學年度個人項目指定曲,,official-pdf,2026-07-16,個人/複音口琴/指定曲,
115-ind-010,紅薔薇,,115,口琴獨奏,口琴(Harmonica)獨奏,大專組,郭芝苑,丸玩琴音樂,丸玩琴音樂,紅薔薇,全曲演奏,請洽丸玩琴音樂 Facebook,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲%20個人項目0715..pdf,115學年度個人項目指定曲,https://www.facebook.com/HarpoMusic/,official-pdf,2026-07-16,個人/複音口琴/指定曲,
115-ind-011,瑞典狂想曲,,115,口琴獨奏,口琴(Harmonica)獨奏,大專組,Hugo Emil Alfvén,盧怡臻,盧怡臻／茱蒂口琴樂團,,全曲演奏,請洽茱蒂口琴樂團,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲%20個人項目0715..pdf,115學年度個人項目指定曲,https://www.facebook.com/Judys.Harmonica.Ensemble/,official-pdf,2026-07-16,個人/複音口琴/指定曲,
115-ind-012,聽拉氏有感,,115,口琴獨奏,口琴(Harmonica)獨奏,大專組,,林家靖,Rolabo工作室,,全曲演奏,請洽 Rolabo 工作室,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲%20個人項目0715..pdf,115學年度個人項目指定曲,https://www.facebook.com/HarmonicaLin/,official-pdf,2026-07-16,個人/複音口琴/指定曲,
