source_name,source_type,url,platform,score_title,composer,arranger,instrumentation,format,purchase_method,price,availability,evidence_url,last_seen_at,rights_note
黃石樂器,商店,https://harmonica.tw/,Website,臺灣幻想曲（口琴五重奏譜集/林家靖作品）,林家靖,,三部半音階口琴(16孔)、和弦口琴、倍低音口琴(39音),紙本譜集,黃石樂器商品頁線上購買,"NT$2,000",可購買,https://harmonica.tw/product/taiwan-fantasy/,2026-07-03,只收錄商品 metadata 與購買頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/,Website,聽的映畫館〖上〗（電影音樂口琴重奏樂譜集）,,茱蒂口琴樂團,口琴五重奏,紙本譜集,黃石樂器商品頁線上購買,"NT$1,500",可購買,https://harmonica.tw/product/%E8%81%BD%E7%9A%84%E6%98%A0%E7%95%AB%E9%A4%A8%E4%B8%8A/,2026-07-03,只收錄商品 metadata 與購買頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/,Website,聽的映畫館〖下〗（電影音樂口琴重奏樂譜集）,,茱蒂口琴樂團,三部半音階口琴(16孔)、和弦口琴、倍低音口琴(39音),紙本譜集,黃石樂器商品頁線上購買,"NT$1,500",可購買,https://harmonica.tw/product/%E8%81%BD%E7%9A%84%E6%98%A0%E7%95%AB%E9%A4%A8%E4%B8%8B/,2026-07-03,只收錄商品 metadata 與購買頁；不收錄或轉載樂譜內容
政大口琴社,歷史／社群曲庫,https://www.nccu.idv.tw/music/s_show.asp,Website,口琴樂譜資料庫,,,獨奏、小合奏、大合奏,線上資料庫,公開曲庫頁查詢,,公開索引,https://www.nccu.idv.tw/music/s_show.asp,2026-07-03,只索引曲庫入口與公開欄位；不搬運譜檔或曲譜內容
音和樂器口琴專賣店,商店,https://shopee.tw/peacetones,Shopee,口琴樂譜-十年日記,李讓,,口琴,紙本樂譜,Shopee 賣場購買,NT$560,可購買,https://shopee.tw/peacetones,2026-07-03,只收錄商品 metadata 與賣場入口；不收錄或轉載樂譜內容
Judy's Harmonica Ensemble,團隊／洽詢入口,https://www.judysharmonica.com/,Website,Judy's Harmonica Ensemble 譜集／編曲洽詢入口,,Judy's Harmonica Ensemble,口琴重奏,官方網站,官網聯絡資訊洽詢,,洽詢,https://www.judysharmonica.com/,2026-07-03,只收錄官方網站與洽詢入口；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/product-category/books/,Website,書籍｜教材｜樂譜分類頁,,,複音、半音階、十孔、重奏,商品分類,黃石樂器商品分類頁查詢,,公開索引,https://harmonica.tw/product-category/books/,2026-07-03,只收錄商品分類入口與 metadata；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/,Website,舌頭殺手（複音口琴獨奏譜集/林家靖 著）,林家靖,,複音口琴獨奏,紙本譜集,黃石樂器商品頁線上購買,"NT$1,500",可購買,https://harmonica.tw/product/tougue_killer/,2026-07-03,只收錄商品 metadata 與購買頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/,Website,俄簧之聲（半音階口琴獨奏譜集/林家靖 著）,林家靖,,半音階口琴獨奏,紙本譜集,黃石樂器商品頁線上購買,"NT$2,500",可購買,https://harmonica.tw/product/harmonica-of-russia/,2026-07-03,只收錄商品 metadata 與購買頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/,Website,佐藤秀廊複音口琴獨奏曲集 第一集,佐藤秀廊,,複音口琴獨奏,紙本曲集,黃石樂器商品頁線上購買,NT$850,可購買,https://harmonica.tw/product/hediro-sato-1/,2026-07-03,只收錄商品 metadata 與購買頁；不收錄或轉載樂譜內容
