public_id,name,name_en,type,country,region,focus,instruments,role,fb_url,ig_url,youtube_url,x_url,threads_url,tiktok_url,website_url,opentix_query,keywords
2,臺灣口琴音樂節 THMF,Taiwan Harmonica Music Festival,活動/資訊入口,臺灣,臺灣,音樂節/比賽/Gala/講座/午間音樂會/新興團體/2026成績公告與結果入口,半音階/複音/十孔/重奏,核心活動/活動資訊與比賽結果來源,https://www.facebook.com/twharmonica/,https://www.instagram.com/taiwanharmonica/,https://www.youtube.com/@thmc6470,,,,https://www.taiwanharmonica.com/,口琴,THMF 臺灣口琴音樂節 Taiwan Harmonica Music Festival 2026 成績 公開組 午間音樂會 Gala
3,天狼星口琴樂團 Sirius Harmonica Ensemble,Sirius Harmonica Ensemble,團體,臺灣,臺灣,口琴重奏/2017 WHF小合奏冠軍/TAIWAN TOP/THMF主辦/近年SIHF FEN APHF交流/SIHF 2026,口琴重奏/合奏,國際演出團體/音樂節主辦,https://www.facebook.com/SiriusHarp/,https://www.instagram.com/siriusharmonicaensemble/,https://www.youtube.com/SiriusHARP,,https://www.threads.net/@siriusharmonicaensemble,,https://www.taiwanharmonica.com/sirius,口琴,天狼星口琴樂團 Sirius Harmonica Ensemble WHF TAIWAN TOP THMF SIHF FEN APHF 2026
4,茱蒂口琴樂團 Judy's Harmonica Ensemble,Judy's Harmonica Ensemble,團體,臺灣,臺灣,口琴重奏與教育推廣/2002起參與亞太口琴節/2026 APHF三場音樂會與重奏講座/第二屆海峽兩岸蕉城文化週專場/琴韻東坡・簧鳴西南,半音階口琴/複音口琴/和弦口琴/低音口琴,國際演出團體/重奏教育與講座/兩岸交流,https://www.facebook.com/Judys.Harmonica.Ensemble/,https://www.instagram.com/judys.harmonica.ensemble/,https://www.youtube.com/@JudysHarmonicaEnsemble,,https://www.threads.net/@judys.harmonica.ensemble,,https://www.judysharmonica.com/,口琴,Judy's Harmonica Ensemble 茱蒂口琴樂團 APHF 2026 海峽兩岸 蕉城 重奏講座 琴韻東坡 簧鳴西南
5,胖擊口琴樂團,Punch Harmonica Ensemble,團體,臺灣,臺灣,口琴重奏/2016成立/五人編制/SIHF三重奏與重奏冠軍/2025 WHF三重奏與小合奏亞軍/THMF與SIHF 2026,半音階口琴/和弦口琴/倍低音口琴,國際演出團體/音樂教育推廣,https://www.facebook.com/Punch.Harp/,https://www.instagram.com/punch.harp/,https://www.youtube.com/@punchharp,,https://www.threads.net/@punch.harp,,https://www.taiwanharmonica.com/punch,口琴,Punch Harmonica Ensemble 胖擊口琴樂團 THMF SIHF 2026 WHF 2025 黃冠誌 王衍華 林裕豐 王心禾 陳聰
6,狂響口琴樂團 Rhapsody Harmonica Ensemble,Rhapsody Harmonica Ensemble,團體,臺灣,臺灣,口琴重奏與合奏/口琴教學/簡譜製作/編曲/THMF 2026協辦,口琴重奏/口琴合奏,演出團體/教學與編曲來源/音樂節協辦,https://www.facebook.com/RhapsodyHarmonicaEnsemble/,,,,,,,口琴,Rhapsody Harmonica Ensemble 狂響口琴樂團 教學 簡譜 編曲 THMF 2026
7,博凱愛樂口琴交響樂團,Pokai Harmonica Symphony Orchestra,團體,臺灣,臺灣,口琴交響樂與大型合奏/公開演出/影音紀錄/THMF 2026協辦,半音階口琴/複音口琴/和弦口琴/低音口琴,演出團體/大型口琴樂團/音樂節協辦,https://www.facebook.com/HarmonicaSymphony/,,https://www.youtube.com/@pokaiho,,,,https://pokaiho.blogspot.com/,口琴,博凱愛樂口琴交響樂團 Pokai Harmonica Symphony Orchestra THMF 2026
8,台中市中華口琴會,Taichung City Chinese Harmonica Association,協會/團體,臺灣,臺灣/臺中,台中地方口琴會/樂團/學生系統/比賽演出,口琴合奏/口琴隊,地方協會/演出團體/學生系統來源,https://www.facebook.com/TCHarmonicaA/?locale=zh_TW,,https://www.youtube.com/@%E5%8F%B0%E4%B8%AD%E5%B8%82%E4%B8%AD%E8%8F%AF%E5%8F%A3%E7%90%B4%E6%9C%83,,,,https://www.tcharmonica.org.tw/,口琴,台中市中華口琴會 臺中市中華口琴會 口琴會 樂團 學生 團隊 口琴
9,李讓 Jang Li,Jang Li,個人,臺灣,臺灣,半音階/十孔/作曲/配樂/跨界,半音階/十孔,演出人員,https://www.facebook.com/Jang.Li.Harmonica/,https://www.instagram.com/jangli_harmonica/,https://www.youtube.com/jangliharmonica,https://x.com/JangLiHarmonica,https://www.threads.net/@jangli_harmonica,,https://jangliharmonica.com/,口琴,李讓 Jang Li
10,林家靖 Rolabo Lin,Rolabo Lin,個人,臺灣,臺灣,半音階/複音/原創/比賽曲/SIHF 2026/2026 琴韻東坡・簧鳴西南,半音階/複音,演出人員,https://www.facebook.com/HarmonicaLin/,https://www.instagram.com/rolabo_lin/,https://www.youtube.com/channel/UCq7wIztEVPNDEaAJ6rdXZEA,,,,https://harmonica.tw/course/jia-jing/,口琴,林家靖 Rolabo Lin Jia-jing Lin SIHF 2026 琴韻東坡 簧鳴西南
11,張筑婷,Chu-Ting Chang,個人,臺灣,臺灣/臺北,國際級複音口琴演奏與逾20年教學/2010亞太口琴大賽傳統與創意複音雙料冠軍/2012《東方的穹蒼》以近250把複音口琴創世界紀錄並登國家音樂廳/與管弦樂團及國樂團協奏/2018與2023首爾國際口琴節評審及嘉賓,複音口琴/複音口琴協奏,國際演出人員/專職教育者/國際與全國賽事評審/專輯演奏者,https://www.facebook.com/p/%E5%BC%B5%E7%AD%91%E5%A9%B7%E8%A4%87%E9%9F%B3%E5%8F%A3%E7%90%B4-CTTH-100066550038070/,https://www.instagram.com/mandy730508_harmonica/,https://www.youtube.com/mandy730508,,https://www.threads.net/@mandy730508_harmonica,,https://harmonica.tw/course/chuting/,口琴,張筑婷 Chu-Ting Chang 複音口琴 APHF 雙料冠軍 250把 世界紀錄 國家音樂廳 東方的穹蒼 SIHF 評審
